bez,bez_name,bez_ew,bez_area,bez_dens,bez_kk
1,Altstadt-Lehel,19207.00,314.56,61.00,126.9
2,Ludwigsvorstadt-Isarvorstadt,47357.00,440.15,108.00,122.4
3,Maxvorstadt,48875.00,429.79,114.00,123.9
4,Schwabing-West,62856.00,436.30,144.00,126.2
5,Au-Haidhausen,56322.00,421.96,133.00,122.1
6,Sendling,38567.00,393.88,98.00,123.2
7,Sendling-Westpark,52495.00,781.45,67.00,122.5
8,Schwanthalerhöhe,28004.00,207.02,135.00,123.3
9,Neuhausen-Nymphenburg,89286.00,1291.45,69.00,129.8
10,Moosach,48421.00,1109.36,44.00,128.7
11,Milbertshofen-Am Hart,68970.00,1341.64,51.00,122.6
12,Schwabing-Freimann,65158.00,2567.01,25.00,120.5
13,Bogenhausen,77542.00,2371.17,33.00,140.3
14,Berg am Laim,40550.00,631.46,64.00,122.3
15,Trudering-Riem,62756.00,2245.05,28.00,150.5
16,Ramersdorf-Perlach,104737.00,1989.50,53.00,123.3
17,Obergiesing,49030.00,572.04,86.00,125.9
18,Untergiesing-Harlaching,49502.00,805.66,61.00,138.5
19,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,83584.00,1775.43,47.00,138.8
20,Hadern,46851.00,922.39,51.00,122.4
21,Pasing-Obermenzing,66244.00,1649.79,40.00,148.5
22,Aubing-Lochhausen-Langwied,38863.00,3406.01,11.00,127.8
23,Allach-Untermenzing,29161.00,1545.17,19.00,138.8
24,Feldmoching-Hasenbergl,56130.00,2893.78,19.00,121.9
25,Laim,51805.00,528.58,98.00,126.5
