miete,mieteqm,flaeche,bjahr,bad,kueche,lage,zh,bezv,bez
235.9,6.74,35,1939,0,0,1,0,1112,11
852.1,8.193269,104,1939,1,0,1,1,1112,11
693.7,23.92069,29,1971,0,0,2,1,2114,21
551.7,14.14615,39,1972,0,0,2,1,2148,21
1574.1,16.22783,97,1985,0,0,1,1,2222,22
941.5,15.18548,62,1962,0,0,1,1,2222,22
631.2,20.36129,31,1965,0,0,1,1,2211,22
723.4,11.85902,61,1957.5,1,0,2,1,2142,21
728.7,10.12083,72,1978,0,0,1,1,2143,21
1017.3,13.564,75,1968,0,0,1,1,2142,21
1256.2,19.32615,65,1956,0,0,2,1,2113,21
1365.9,15.00989,91,1984,0,0,1,1,1402,14
1523.2,15.232,100,1959,0,0,1,1,1516,15
804,25.125,32,1994.5,0,0,1,1,1541,15
644.1,10.06406,64,1962,0,0,1,1,1123,11
479.5,7.611111,63,1929,0,0,1,0,1132,11
1086.2,10.54563,103,1955,1,0,1,1,1111,11
828.7,11.35205,73,1980,0,0,1,1,1133,11
643.9,10.73167,60,1957,0,0,1,1,1123,11
570,9.827586,58,1934,0,0,1,0,1133,11
650.4,20.325,32,1972,0,0,1,1,1134,11
628.4,7.758025,81,1996,0,1,1,1,1212,12
361.7,9.27436,39,1935,0,0,1,1,1132,11
920.5,8.523149,108,1955,1,0,1,1,1111,11
1336.8,15.36552,87,1979,1,1,2,1,2145,21
992.8,16.54667,60,1939,0,0,2,1,2145,21
1343.5,10.748,125,1979,0,0,1,1,2412,24
400.4,5.97612,67,1964,0,0,1,0,2314,23
719.1,8.98875,80,1972,0,0,1,1,2314,23
1241,16.77027,74,1957,0,0,1,1,2414,24
463.9,11.04524,42,1962,0,0,1,1,2314,23
805.8,20.66154,39,1996,0,0,1,1,2314,23
1649.9,18.33222,90,1983,0,1,2,1,2144,21
732.6,9.157499,80,1971,0,0,1,1,1012,10
643.3,15.69024,41,1960,0,0,1,1,2421,24
592.4,10.04068,59,1960,0,0,1,1,2421,24
1804.3,16.86262,107,1918,0,0,2,1,231,2
941.9,14.95079,63,1929,0,0,1,0,210,2
2242.8,14.37692,156,1918,0,0,2,0,210,2
1036.2,9.419999,110,1918,0,0,2,1,232,2
1294.9,20.23281,64,1918,0,0,3,1,911,9
609.6,8.127999,75,1960,0,0,3,1,924,9
736.3,13.63519,54,1934,0,0,2,1,922,9
1017,14.52857,70,1970,0,1,1,1,1022,10
920.1,12.95915,71,1970,0,0,1,1,2314,23
674.5,20.43939,33,1967,0,0,3,1,964,10
223.2,6.377143,35,1939,0,0,1,0,2314,23
636.4,23.57037,27,1972,0,0,2,1,922,9
761.5,15.86458,48,1972,0,0,3,1,911,9
1058.3,19.59815,54,1986,0,0,2,1,964,10
657.1,21.90333,30,1972,0,0,1,1,2121,21
947.8,11.02093,86,1965,0,0,1,1,963,10
844.9,14.08167,60,1957.5,0,0,2,1,961,10
1391.4,15.9931,87,1981,0,0,1,1,1361,14
1047.8,13.43333,78,1991,0,0,1,1,1346,13
774,9.923077,78,1969,0,0,1,1,1342,13
1031.1,10.74062,96,1967,0,0,1,1,1341,13
933.7,13.1507,71,1965,0,0,2,1,1544,15
920,15.59322,59,1986,1,0,1,1,1322,13
666.5,8.128049,82,1982,0,0,1,1,1313,13
